"","Pitch_Sequence_01","Pitch_Sequence_02","Pitch_Sequence_03","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"655","CB-H-I","SL-H-I","CB-L-I",2,1,0,1,0,0,1,0,0,0.45,0.9
"656","CB-H-I","SL-H-I","CB-L-O",1,1,0,1,0,0,0,0,0,0,0
"657","CB-H-I","SL-H-I","CB-M-I",1,1,0,0,1,0,0,0,0,0.9,0.9
"658","CB-H-I","SL-H-I","CH-L-I",1,0,0,0,0,0,1,0,0,0,0
"659","CB-H-I","SL-H-I","CH-L-O",3,1,0,0,1,0,2,0,0,0.3,0.9
"660","CB-H-I","SL-H-I","CH-M-O",1,1,0,1,0,0,0,0,0,0,0
"661","CB-H-I","SL-H-I","FB-H-I",4,4,0,4,0,0,0,0,0,0.5375,2.15
"662","CB-H-I","SL-H-I","FB-H-M",4,3,1,0,2,0,1,0,0,0.5375,2.15
"663","CB-H-I","SL-H-I","FB-H-O",3,2,1,1,0,0,1,0,0,0,0
"664","CB-H-I","SL-H-I","FB-L-I",2,2,1,0,1,0,0,0,0,0.625,1.25
"665","CB-H-I","SL-H-I","FB-L-M",2,2,1,0,1,0,0,0,0,1.075,2.15
"666","CB-H-I","SL-H-I","FB-L-O",1,1,0,1,0,0,0,0,0,0.9,0.9
"667","CB-H-I","SL-H-I","FB-M-M",2,1,0,1,0,0,1,0,0,0,0
"668","CB-H-I","SL-H-I","FB-M-O",2,0,0,0,0,0,2,0,0,0,0
"669","CB-H-I","SL-H-I","SL-H-I",3,2,0,1,1,0,0,1,0,0.65,1.95
"670","CB-H-I","SL-H-I","SL-H-O",2,1,0,0,1,0,1,0,0,0,0
"671","CB-H-I","SL-H-I","SL-L-I",4,2,0,2,0,0,1,1,0,0.4,1.6
"672","CB-H-I","SL-H-I","SL-L-M",1,1,0,0,1,0,0,0,0,0.9,0.9
"673","CB-H-I","SL-H-I","SL-L-O",1,0,0,0,0,0,1,0,0,0,0
"674","CB-H-I","SL-H-I","SL-M-I",3,0,0,0,0,0,2,1,0,0.233333333333333,0.7
"675","CB-H-I","SL-H-I","SL-M-M",1,1,1,0,0,0,0,0,0,0,0
"676","CB-H-I","SL-H-I",NA,14,12,0,8,2,2,0,0,0,0.164285714285714,2.3
"677","CB-H-I","SL-H-M","CB-H-I",1,1,0,1,0,0,0,0,0,0,0
"678","CB-H-I","SL-H-M","CB-L-M",1,1,0,0,0,1,0,0,0,0,0
"679","CB-H-I","SL-H-M","CB-M-M",1,1,0,1,0,0,0,0,0,0,0
"680","CB-H-I","SL-H-M","CH-L-I",1,1,1,0,0,0,0,0,0,0,0
"681","CB-H-I","SL-H-M","CH-L-O",2,2,0,0,1,1,0,0,0,0,0
"682","CB-H-I","SL-H-M","CH-M-O",2,2,0,2,0,0,0,0,0,0,0
"683","CB-H-I","SL-H-M","FB-H-I",1,1,1,0,0,0,0,0,0,0,0
"684","CB-H-I","SL-H-M","FB-H-M",2,1,0,0,1,0,1,0,0,0,0
"685","CB-H-I","SL-H-M","FB-H-O",3,0,0,0,0,0,2,1,0,0.233333333333333,0.7
"686","CB-H-I","SL-H-M","FB-M-O",3,2,1,1,0,0,0,1,0,0.233333333333333,0.7
"687","CB-H-I","SL-H-M","SL-H-I",2,1,0,0,0,1,1,0,0,0,0
"688","CB-H-I","SL-H-M","SL-H-O",1,1,0,0,1,0,0,0,0,0.9,0.9
"689","CB-H-I","SL-H-M","SL-L-I",1,0,0,0,0,0,1,0,0,0,0
"690","CB-H-I","SL-H-M","SL-M-I",1,0,0,0,0,0,1,0,0,0,0
"691","CB-H-I","SL-H-M",NA,3,3,1,1,1,0,0,0,0,0.3,0.9
"692","CB-H-I","SL-H-O","CB-H-O",1,1,0,0,1,0,0,0,0,0,0
"693","CB-H-I","SL-H-O","CB-L-M",1,0,0,0,0,0,1,0,0,0,0
"694","CB-H-I","SL-H-O","CB-M-I",1,1,0,1,0,0,0,0,0,0,0
"695","CB-H-I","SL-H-O","CH-H-O",1,0,0,0,0,0,1,0,0,0,0
"696","CB-H-I","SL-H-O","CH-L-O",1,1,1,0,0,0,0,0,0,0,0
"697","CB-H-I","SL-H-O","FB-H-I",1,1,0,1,0,0,0,0,0,0,0
"698","CB-H-I","SL-H-O","FB-H-M",2,2,0,1,1,0,0,0,0,0.625,1.25
"699","CB-H-I","SL-H-O","FB-H-O",3,0,0,0,0,0,1,2,0,0.466666666666667,1.4
"700","CB-H-I","SL-H-O","FB-L-I",3,2,0,1,1,0,1,0,0,0.416666666666667,1.25
"701","CB-H-I","SL-H-O","FB-L-M",1,0,0,0,0,0,1,0,0,0,0
"702","CB-H-I","SL-H-O","FB-L-O",3,1,0,1,0,0,2,0,0,0,0
"703","CB-H-I","SL-H-O","FB-M-I",1,1,1,0,0,0,0,0,0,0,0
"704","CB-H-I","SL-H-O","SL-H-I",1,1,1,0,0,0,0,0,0,0,0
"705","CB-H-I","SL-H-O","SL-H-O",1,1,1,0,0,0,0,0,1,2,2
"706","CB-H-I","SL-H-O","SL-L-I",1,1,0,0,0,1,0,0,0,0,0
"707","CB-H-I","SL-H-O","SL-M-I",1,0,0,0,0,0,1,0,0,0,0
"708","CB-H-I","SL-H-O","SL-M-M",1,1,0,0,1,0,0,0,0,0.9,0.9
"709","CB-H-I","SL-H-O","SL-M-O",4,3,1,2,0,0,1,0,0,0.225,0.9
"710","CB-H-I","SL-H-O",NA,4,4,2,2,0,0,0,0,1,0.5,2
"711","CB-H-I","SL-L-I","CB-H-I",1,1,1,0,0,0,0,0,0,0.9,0.9
"712","CB-H-I","SL-L-I","CB-H-O",3,1,0,0,0,1,2,0,0,0,0
"713","CB-H-I","SL-L-I","CB-L-I",11,3,1,1,1,0,8,0,0,0.163636363636364,1.8
"714","CB-H-I","SL-L-I","CB-L-M",2,2,0,1,0,1,0,0,0,0,0
"715","CB-H-I","SL-L-I","CB-M-I",2,2,0,1,1,0,0,0,0,0.45,0.9
