"","Pitch_Sequence_01","Pitch_Sequence_02","Pitch_Sequence_03","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"28","CB-H-I","CB-H-I","SL-H-M",7,5,3,1,0,1,1,1,2,0.671428571428571,4.7
"29","CB-H-I","CB-H-I","SL-H-O",4,3,1,0,0,2,0,1,0,0.4,1.6
"30","CB-H-I","CB-H-I","SL-L-I",1,1,0,0,0,1,0,0,0,0,0
"31","CB-H-I","CB-H-I","SL-L-M",2,2,1,0,0,1,0,0,0,0,0
"32","CB-H-I","CB-H-I","SL-L-O",16,7,4,3,0,0,2,7,1,0.5875,9.4
"33","CB-H-I","CB-H-I","SL-M-I",3,0,0,0,0,0,2,1,0,0.233333333333333,0.7
"34","CB-H-I","CB-H-I","SL-M-M",6,3,3,0,0,0,2,1,0,0.116666666666667,0.7
"35","CB-H-I","CB-H-I","SL-M-O",9,5,1,3,1,0,2,2,0,0.155555555555556,1.4
"36","CB-H-I","CB-H-I",NA,38,34,9,12,8,5,0,0,1,0.432894736842105,16.45
"37","CB-H-I","CB-H-M","CB-H-I",4,3,1,0,2,0,0,1,0,0.7125,2.85
"38","CB-H-I","CB-H-M","CB-H-M",3,2,1,0,0,1,0,0,0,0.233333333333333,0.7
"39","CB-H-I","CB-H-M","CB-H-O",6,4,2,1,1,0,2,0,0,0.208333333333333,1.25
"40","CB-H-I","CB-H-M","CB-L-I",2,2,0,0,2,0,0,0,0,0.625,1.25
"41","CB-H-I","CB-H-M","CB-L-M",3,1,1,0,0,0,2,0,0,0,0
"42","CB-H-I","CB-H-M","CB-L-O",15,6,1,4,1,0,6,3,0,0.223333333333333,3.35
"43","CB-H-I","CB-H-M","CB-M-I",2,1,0,1,0,0,1,0,0,0,0
"44","CB-H-I","CB-H-M","CB-M-M",5,3,2,1,0,0,1,1,0,0.14,0.7
"45","CB-H-I","CB-H-M","CB-M-O",3,1,0,1,0,0,2,0,0,0,0
"46","CB-H-I","CB-H-M","CH-L-I",3,1,0,0,1,0,2,0,0,0.416666666666667,1.25
"47","CB-H-I","CB-H-M","CH-L-M",2,0,0,0,0,0,0,1,0,0.7,1.4
"48","CB-H-I","CB-H-M","CH-L-O",1,0,0,0,0,0,1,0,0,0,0
"49","CB-H-I","CB-H-M","CH-M-I",2,2,0,0,2,0,0,0,0,0.625,1.25
"50","CB-H-I","CB-H-M","CH-M-M",2,2,0,0,1,1,0,0,0,0.45,0.9
"51","CB-H-I","CB-H-M","FB-H-I",19,13,3,5,4,1,3,3,1,0.394736842105263,7.5
"52","CB-H-I","CB-H-M","FB-H-M",12,9,4,3,1,1,2,1,0,0.2375,2.85
"53","CB-H-I","CB-H-M","FB-H-O",14,9,1,4,3,1,2,3,0,0.367857142857143,5.15
"54","CB-H-I","CB-H-M","FB-L-I",15,12,2,2,6,2,2,1,0,0.416666666666667,6.25
"55","CB-H-I","CB-H-M","FB-L-M",4,1,0,1,0,0,1,2,0,0.35,1.4
"56","CB-H-I","CB-H-M","FB-L-O",13,7,1,3,3,0,4,2,0,0.384615384615385,5
"57","CB-H-I","CB-H-M","FB-M-I",9,8,1,3,2,2,1,0,0,0.1,0.9
"58","CB-H-I","CB-H-M","FB-M-M",11,7,3,2,2,0,4,0,0,0.277272727272727,3.05
"59","CB-H-I","CB-H-M","FB-M-O",12,5,1,4,0,0,5,2,1,0.358333333333333,4.3
"60","CB-H-I","CB-H-M","SL-H-I",4,0,0,0,0,0,4,0,0,0,0
"61","CB-H-I","CB-H-M","SL-H-M",2,2,0,1,0,1,0,0,0,0,0
"62","CB-H-I","CB-H-M","SL-H-O",4,3,0,2,1,0,1,0,0,0.225,0.9
"63","CB-H-I","CB-H-M","SL-L-O",8,6,2,3,1,0,1,1,0,0.0875,0.7
"64","CB-H-I","CB-H-M","SL-M-I",2,2,1,1,0,0,0,0,1,1,2
"65","CB-H-I","CB-H-M","SL-M-M",2,1,0,0,0,1,1,0,0,0,0
"66","CB-H-I","CB-H-M","SL-M-O",3,3,0,2,1,0,0,0,0,0,0
"67","CB-H-I","CB-H-M",NA,29,29,11,10,4,4,0,0,1,0.279310344827586,8.1
"68","CB-H-I","CB-H-O","CB-H-I",2,0,0,0,0,0,1,1,0,0.35,0.7
"69","CB-H-I","CB-H-O","CB-H-M",1,1,0,0,1,0,0,0,0,0.9,0.9
"70","CB-H-I","CB-H-O","CB-L-I",1,0,0,0,0,0,1,0,0,0,0
"71","CB-H-I","CB-H-O","CB-L-M",5,3,1,1,1,0,2,0,1,0.58,2.9
"72","CB-H-I","CB-H-O","CB-L-O",8,5,0,4,1,0,3,0,0,0.1125,0.9
"73","CB-H-I","CB-H-O","CB-M-I",1,0,0,0,0,0,0,1,0,0.7,0.7
"74","CB-H-I","CB-H-O","CB-M-M",3,2,0,1,1,0,1,0,0,0.3,0.9
"75","CB-H-I","CB-H-O","CB-M-O",1,1,0,1,0,0,0,0,0,1.25,1.25
"76","CB-H-I","CB-H-O","CH-H-M",1,1,0,1,0,0,0,0,0,0.9,0.9
"77","CB-H-I","CB-H-O","CH-H-O",2,1,0,1,0,0,1,0,0,0,0
"78","CB-H-I","CB-H-O","CH-L-I",4,3,0,1,2,0,0,1,0,0.9375,3.75
"79","CB-H-I","CB-H-O","CH-L-O",1,1,0,0,1,0,0,0,0,0.9,0.9
"80","CB-H-I","CB-H-O","CH-M-M",1,1,0,1,0,0,0,0,0,0,0
"81","CB-H-I","CB-H-O","FB-H-I",8,6,3,1,1,1,0,2,1,0.65,5.2
"82","CB-H-I","CB-H-O","FB-H-M",3,3,0,0,3,0,0,0,0,0.9,2.7
"83","CB-H-I","CB-H-O","FB-H-O",13,5,2,1,1,1,5,3,1,0.480769230769231,6.25
"84","CB-H-I","CB-H-O","FB-L-I",4,1,1,0,0,0,3,0,0,0,0
"85","CB-H-I","CB-H-O","FB-L-M",5,3,2,1,0,0,1,1,0,0.14,0.7
"86","CB-H-I","CB-H-O","FB-L-O",9,3,0,1,2,0,3,3,0,0.333333333333333,3
"87","CB-H-I","CB-H-O","FB-M-I",6,3,0,1,0,2,1,2,0,0.233333333333333,1.4
"88","CB-H-I","CB-H-O","FB-M-M",1,0,0,0,0,0,1,0,0,0,0
"89","CB-H-I","CB-H-O","FB-M-O",10,3,1,2,0,0,6,1,0,0.07,0.7
"90","CB-H-I","CB-H-O","SL-H-I",1,1,0,1,0,0,0,0,0,0,0
"91","CB-H-I","CB-H-O","SL-H-M",1,0,0,0,0,0,1,0,0,0,0
"92","CB-H-I","CB-H-O","SL-H-O",3,3,1,0,2,0,0,0,0,1.25,3.75
"93","CB-H-I","CB-H-O","SL-L-M",1,1,0,1,0,0,0,0,0,0,0
"94","CB-H-I","CB-H-O","SL-L-O",1,1,0,0,0,1,0,0,0,0,0
"95","CB-H-I","CB-H-O","SL-M-O",1,1,0,0,0,1,0,0,0,0,0
"96","CB-H-I","CB-H-O",NA,19,19,6,11,1,1,0,0,0,0.189473684210526,3.6
"97","CB-H-I","CB-L-I","CB-H-I",6,3,0,1,0,2,3,0,0,0,0
"98","CB-H-I","CB-L-I","CB-H-M",1,0,0,0,0,0,1,0,0,0,0
"99","CB-H-I","CB-L-I","CB-H-O",1,0,0,0,0,0,1,0,0,0,0
"100","CB-H-I","CB-L-I","CB-L-I",4,3,1,1,1,0,1,0,0,0,0
"101","CB-H-I","CB-L-I","CB-L-M",6,4,0,4,0,0,2,0,0,0.3,1.8
"102","CB-H-I","CB-L-I","CB-L-O",16,10,2,6,1,1,6,0,2,0.496875,7.95
"103","CB-H-I","CB-L-I","CB-M-I",1,1,1,0,0,0,0,0,0,0,0
"104","CB-H-I","CB-L-I","CB-M-M",3,1,1,0,0,0,2,0,0,0,0
"105","CB-H-I","CB-L-I","CB-M-O",4,3,1,1,0,1,1,0,0,0.225,0.9
"106","CB-H-I","CB-L-I","CH-H-I",2,1,0,1,0,0,0,0,0,0.35,0.7
"107","CB-H-I","CB-L-I","CH-H-M",1,1,0,1,0,0,0,0,0,0,0
"108","CB-H-I","CB-L-I","CH-H-O",2,1,0,0,1,0,0,1,0,0.975,1.95
"109","CB-H-I","CB-L-I","CH-L-I",3,3,0,1,1,1,0,0,0,0,0
"110","CB-H-I","CB-L-I","CH-L-M",3,1,0,0,0,1,2,0,0,0,0
"111","CB-H-I","CB-L-I","CH-L-O",1,1,0,0,1,0,0,0,0,1.25,1.25
"112","CB-H-I","CB-L-I","CH-M-M",1,1,0,1,0,0,0,0,0,0,0
"113","CB-H-I","CB-L-I","FB-H-I",11,5,2,2,1,0,3,0,0,0.272727272727273,3
"114","CB-H-I","CB-L-I","FB-H-M",10,7,3,2,2,0,2,1,0,0.25,2.5
"115","CB-H-I","CB-L-I","FB-H-O",13,11,2,5,2,2,1,1,1,0.415384615384615,5.4
"116","CB-H-I","CB-L-I","FB-L-I",4,4,0,2,1,1,0,0,0,0.225,0.9
"117","CB-H-I","CB-L-I","FB-L-M",7,6,1,1,4,0,1,0,0,0.564285714285714,3.95
"118","CB-H-I","CB-L-I","FB-L-O",20,10,1,5,3,1,1,9,0,0.585,11.7
"119","CB-H-I","CB-L-I","FB-M-I",6,4,0,2,1,1,2,0,0,0.208333333333333,1.25
"120","CB-H-I","CB-L-I","FB-M-M",10,8,3,2,2,1,2,0,0,0.215,2.15
"121","CB-H-I","CB-L-I","FB-M-O",9,6,1,4,1,0,3,0,0,0.1,0.9
"122","CB-H-I","CB-L-I","SL-H-I",3,2,0,2,0,0,1,0,0,0.3,0.9
"123","CB-H-I","CB-L-I","SL-H-M",1,0,0,0,0,0,1,0,0,0,0
"124","CB-H-I","CB-L-I","SL-H-O",3,2,0,1,1,0,1,0,0,0.6,1.8
"125","CB-H-I","CB-L-I","SL-L-I",1,1,1,0,0,0,0,0,0,0,0
"126","CB-H-I","CB-L-I","SL-L-M",3,1,0,1,0,0,2,0,0,0.3,0.9
"127","CB-H-I","CB-L-I","SL-L-O",5,2,0,2,0,0,2,1,0,0.32,1.6
"128","CB-H-I","CB-L-I","SL-M-M",1,1,0,0,1,0,0,0,0,0.9,0.9
"129","CB-H-I","CB-L-I","SL-M-O",2,1,0,0,0,1,1,0,0,0,0
"130","CB-H-I","CB-L-I",NA,28,28,5,15,5,3,0,0,2,0.380357142857143,10.65
"131","CB-H-I","CB-L-M","CB-H-I",5,2,0,1,0,1,2,1,0,0.14,0.7
"132","CB-H-I","CB-L-M","CB-H-M",1,0,0,0,0,0,0,1,0,0.7,0.7
"133","CB-H-I","CB-L-M","CB-H-O",1,1,0,0,1,0,0,0,0,0.9,0.9
"134","CB-H-I","CB-L-M","CB-L-I",11,8,2,4,1,1,2,1,0,0.227272727272727,2.5
"135","CB-H-I","CB-L-M","CB-L-M",13,5,1,3,1,0,6,2,0,0.107692307692308,1.4
"136","CB-H-I","CB-L-M","CB-L-O",19,11,2,5,3,1,5,3,1,0.357894736842105,6.8
"137","CB-H-I","CB-L-M","CB-M-I",5,3,0,3,0,0,1,0,0,0.75,3.75
"138","CB-H-I","CB-L-M","CB-M-M",8,4,0,4,0,0,4,0,0,0.225,1.8
"139","CB-H-I","CB-L-M","CB-M-O",3,2,0,2,0,0,1,0,0,0,0
"140","CB-H-I","CB-L-M","CH-H-I",2,2,0,2,0,0,0,0,0,0.45,0.9
"141","CB-H-I","CB-L-M","CH-H-M",1,0,0,0,0,0,0,0,0,0.7,0.7
"142","CB-H-I","CB-L-M","CH-L-I",8,5,1,3,1,0,3,0,0,0.26875,2.15
